iterations,fitness,time
0,3207.79350408,0.015464915
10,3387.84409108,0.029200706
20,3400.65654848,0.041385097
30,3393.529764,0.052411713
40,3401.08671316,0.062141966
50,3426.6931082,0.073752763
60,3436.56585657,0.08401234
70,3437.81408355,0.093856478
80,3425.60762553,0.103604697
90,3436.12597039,0.113901487
100,3410.46214984,0.124040764
110,3436.12597039,0.134459138
120,3426.31502501,0.144731548
130,3428.93674143,0.154616108
140,3423.05576514,0.165213169
150,3409.79759307,0.175822741
160,3436.12597039,0.185395801
170,3426.31502501,0.195648641
180,3432.74223586,0.206030123
190,3435.45286485,0.215192877
200,3405.39368399,0.225426148
210,3437.81408355,0.237360955
220,3403.52987595,0.246741213
230,3405.39368399,0.256536589
240,3429.84091631,0.266834662
250,3428.13490392,0.276698049
260,3426.31502501,0.286738519
270,3416.2479604,0.297474808
280,3438.9035693,0.307080911
290,3426.31502501,0.316966753
300,3432.63641493,0.326953648
310,3401.42562349,0.336642518
320,3448.81269867,0.346913644
330,3436.12597039,0.356737251
340,3436.12597039,0.366323785
350,3436.12597039,0.376661959
360,3401.08671316,0.386517646
370,3442.12105438,0.397730647
380,3397.93764318,0.407813141
390,3436.12597039,0.418174092
400,3460.26479649,0.427766079
410,3407.38697673,0.437593215
420,3400.27837235,0.447804672
430,3426.31502501,0.457122052
440,3426.31502501,0.467509629
450,3439.20114351,0.478429418
460,3426.31502501,0.488620985
470,3426.31502501,0.499117956
480,3413.24444584,0.509776611
490,3405.39368399,0.520011166
500,3421.0574014,0.530658914
510,3424.45121696,0.54068623
520,3415.79181788,0.550659972
530,3447.90879971,0.560950346
540,3442.78229307,0.572364811
550,3405.44428386,0.582165641
560,3399.37397238,0.592356887
570,3428.00003977,0.602223482
580,3426.31502501,0.61158
590,3436.12597039,0.621592559
600,3384.76991718,0.631765199
610,3395.10070374,0.641114019
620,3401.08671316,0.651300774
630,3426.31502501,0.66113208
640,3468.11555834,0.67036509
650,3393.79934926,0.680938091
660,3451.07503457,0.690873658
670,3420.37251583,0.700045073
680,3414.05761915,0.709986094
690,3440.25724634,0.719647696
700,3424.91957318,0.730800065
710,3436.12597039,0.740644203
720,3434.11441005,0.750766477
730,3395.10070374,0.760205763
740,3416.86240678,0.769620989
750,3436.12597039,0.779599222
760,3405.39368399,0.789564944
770,3417.98222829,0.79897247
780,3405.39368399,0.808895205
790,3408.76912381,0.818728757
800,3405.39368399,0.82837111
810,3397.63646942,0.838233213
820,3405.39368399,0.848129321
830,3402.60278034,0.857217328
840,3402.60278034,0.867211281
850,3434.11441005,0.877104182
860,3425.17439021,0.888257193
870,3468.92389914,0.898139507
880,3436.12597039,0.907862382
890,3402.45861568,0.917290119
900,3402.60278034,0.926632202
910,3426.31502501,0.936359569
920,3442.92939519,0.945627226
930,3436.94338577,0.955245841
940,3415.03221342,0.964889478
950,3405.39368399,0.974829536
960,3436.12597039,0.984662767
970,3436.12597039,0.994652229
980,3436.12597039,1.00482551
990,3436.12597039,1.014721619
1000,3417.52716909,1.024570248
1010,3402.60278034,1.034840411
1020,3407.34152706,1.044748389
1030,3409.59862168,1.05420981
1040,3417.98222829,1.064383412
1050,3411.69617077,1.074464944
1060,3417.98222829,1.08353627
1070,3410.63538475,1.093390674
1080,3401.08671316,1.10398164
1090,3442.12105438,1.113295813
1100,3400.27837235,1.123737606
1110,3417.98222829,1.133771018
1120,3403.56359512,1.14317277
1130,3403.52987595,1.15354976
1140,3431.82807413,1.164076244
1150,3396.44858514,1.174542097
1160,3436.12597039,1.185301164
1170,3412.87504974,1.196688682
1180,3443.67446095,1.20725655
1190,3403.52987595,1.219355287
1200,3406.96889756,1.229295345
1210,3399.07039579,1.239068586
1220,3415.2662686,1.249554008
1230,3437.81408355,1.260075039
1240,3426.31502501,1.270850787
1250,3437.50811747,1.281314074
1260,3436.12597039,1.291690102
1270,3405.39368399,1.301947113
1280,3390.21931902,1.311841296
1290,3393.79934926,1.322233685
1300,3417.98222829,1.332575388
1310,3400.27837235,1.342079155
1320,3426.31502501,1.35200606
1330,3402.75525431,1.362181266
1340,3422.84998223,1.371517253
1350,3402.60278034,1.383171036
1360,3426.31502501,1.393554442
1370,3403.52987595,1.403407883
1380,3426.31502501,1.413124021
1390,3403.52987595,1.423891108
1400,3426.31502501,1.433635476
1410,3426.31502501,1.443707063
1420,3436.12597039,1.454232585
1430,3405.39368399,1.464792754
1440,3433.01285615,1.475247379
1450,3402.60278034,1.485295226
1460,3405.39368399,1.495855395
1470,3436.94338577,1.506499294
1480,3417.98222829,1.517687914
1490,3413.28387674,1.527249105
1500,3400.27837235,1.537407629
1510,3426.31502501,1.549066225
1520,3402.61608509,1.558162894
1530,3442.58165432,1.568214271
1540,3413.61265838,1.578208545
1550,3436.12597039,1.587319971
1560,3426.31502501,1.598171108
1570,3436.12597039,1.608393151
1580,3415.60828472,1.618103515
1590,3410.88782996,1.627949257
1600,3405.39368399,1.638024372
1610,3422.30562838,1.647805954
1620,3403.52987595,1.657319987
1630,3395.89615474,1.667500967
1640,3404.26635394,1.677365316
1650,3419.36437537,1.686938376
1660,3401.08671316,1.696879397
1670,3440.55383816,1.707153731
1680,3416.56643951,1.719266904
1690,3421.15201748,1.729518461
1700,3411.69617077,1.740046871
1710,3428.70588531,1.751044615
1720,3401.08671316,1.761651621
1730,3395.10070374,1.771536822
1740,3427.96529387,1.78197637
1750,3426.6931082,1.791811526
1760,3446.14012745,1.801507132
1770,3411.31366025,1.811466438
1780,3417.12306593,1.821260531
1790,3434.67392022,1.831011957
1800,3436.12597039,1.841171123
1810,3405.39368399,1.851272544
1820,3433.26767318,1.860891479
1830,3416.53538033,1.871423738
1840,3421.55255544,1.883406345
1850,3416.40918786,1.893687416
1860,3435.34013331,1.903336186
1870,3436.12597039,1.913113276
1880,3456.53978574,1.922897104
1890,3436.12597039,1.932578275
1900,3405.39368399,1.94266494
1910,3426.31502501,1.953309801
1920,3417.98222829,1.963709568
1930,3422.71987589,1.973078277
1940,3445.60140044,1.983414846
1950,3426.35149948,1.993317049
