iterations,fitness,time
0,2709.45641273,0.003204494
10,2921.21856643,0.004109477
20,3018.88256891,0.004945488
30,2988.66735605,0.005781178
40,3081.47365084,0.006600828
50,3004.16511862,0.00740219199999
60,3074.35108207,0.008217992
70,3294.08997083,0.009016469
80,3401.26224455,0.00981237999999
90,3325.59532504,0.010604441
100,3291.39089494,0.011530276
110,3199.00240499,0.012298918
120,3248.65084961,0.012796162
130,3290.67866058,0.013258117
140,3285.00203004,0.013925707
150,3383.34466146,0.014402419
160,3268.53223908,0.014868865
170,3305.38736305,0.015338198
180,3402.16347871,0.015819401
190,3335.87794497,0.016296755
200,3336.65565664,0.016765127
210,3324.76605744,0.017236706
220,3433.55759705,0.017716947
230,3392.84191103,0.018183714
240,3432.66959885,0.018648235
250,3267.83484415,0.019110512
260,3245.60314527,0.019572788
270,3239.32392649,0.020039555
280,3222.60565085,0.020499585
290,3277.05350261,0.020966994
300,3262.46845522,0.021428629
310,3292.32918658,0.02202083
320,3253.5936801,0.022508129
330,3215.7272952,0.022969764
340,3192.28257627,0.02350807
350,3243.56028184,0.023976762
360,3182.30808553,0.024442888
370,3165.61641582,0.024907409
380,3198.46546479,0.025370327
390,3372.17428288,0.025828754
400,3244.19845551,0.026293596
410,3237.20300271,0.026753305
420,3116.65817288,0.02721526
430,3271.61311101,0.027674649
440,3239.11431985,0.028142699
450,3373.29951792,0.028602729
460,3306.78335791,0.029067572
470,3257.70367608,0.02954653
480,3281.79273998,0.030016184
490,3250.16286525,0.030477177
500,3262.92328226,0.03094234
510,3152.03607463,0.031403653
520,3225.15695838,0.031906992
530,3372.14485905,0.03237376
540,3183.94620375,0.033082091
550,3057.44754895,0.033561048
560,3052.73011554,0.034023004
570,3054.22254523,0.034485921
580,3016.12768139,0.034944027
590,3043.05710308,0.035406945
600,3033.81679483,0.035867938
610,3023.2971545,0.036329573
620,2921.60636735,0.036790245
630,3059.2716518,0.037255729
640,2976.55147911,0.037716401
650,3037.57558553,0.038186056
660,3057.50690128,0.038648653
670,2913.28854201,0.039115099
680,2980.56438856,0.039578338
690,2975.81111619,0.040046388
700,3030.59240088,0.040510268
710,3044.83884076,0.040968052
720,2996.88306624,0.041430328
730,3080.37942782,0.041889396
740,2946.79538563,0.042522018
750,3035.60232514,0.043027281
760,3052.94025025,0.043513617
770,3008.4142966,0.043974931
780,3130.02709372,0.044440094
790,3040.75212041,0.044900445
800,3056.80247051,0.045363363
810,3107.51564684,0.045825639
820,3021.29496736,0.046290481
830,2926.45946098,0.046752757
840,2984.67343861,0.047219204
850,3039.55622443,0.047683084
860,2991.79116509,0.048164287
870,2963.61984493,0.04866538
880,3046.92922329,0.049142734
890,3204.72341658,0.04960918
900,3191.07812407,0.050072739
910,3138.21894675,0.050576399
920,3202.96714447,0.051041241
930,3068.56764905,0.051510895
940,3019.403675,0.051978946
950,3036.28094972,0.052447638
960,3031.84969917,0.05290863
970,3094.69816195,0.053401703
980,2966.7746826,0.053864299
990,3108.07298683,0.054330745
1000,3112.52317739,0.054811949
1010,3160.44871359,0.055297323
1020,3210.31868876,0.055764732
1030,2991.20719874,0.056238878
1040,3088.47417084,0.05670757
1050,3027.86644315,0.057171129
1060,3087.32770036,0.078987287
1070,3083.33877208,0.079471378
1080,3213.55881143,0.079941353
1090,3178.66569764,0.080407158
1100,3197.16099398,0.080881304
1110,3217.36544503,0.081352242
1120,3282.65450691,0.081820934
1130,3286.81535739,0.082288984
1140,3325.562918,0.082793927
1150,3305.00762232,0.083260695
1160,3334.09121464,0.08375858
1170,3241.35946841,0.084282771
1180,3301.2512965,0.084784185
1190,3368.82771527,0.085280145
1200,3333.54997557,0.085787334
1210,3248.88625115,0.08644947
1220,3230.52580743,0.086935806
1230,3215.06528751,0.087499776
1240,3292.91153525,0.087971997
1250,3256.32978079,0.088515436
1260,3276.61260871,0.088985411
1270,3264.0333847,0.089437101
1280,3199.16284107,0.089893603
1290,3195.62201288,0.090343047
1300,3250.6005698,0.090792491
1310,3266.16646091,0.091243218
1320,3221.71919308,0.091721213
1330,3277.25994355,0.092217494
1340,3278.39978181,0.09270383
1350,3263.62803893,0.093192412
1360,3250.47587898,0.093676502
1370,3270.77376366,0.095251962
1380,3245.51292271,0.095728032
1390,3291.64348067,0.096188383
1400,3180.00932777,0.096638148
1410,3210.56639901,0.097165227
1420,3165.33808693,0.097648035
1430,3212.09736754,0.098106783
1440,3209.57414531,0.098562002
1450,3070.02585966,0.099016899
1460,3259.9270573,0.099463135
1470,3188.3548789,0.09991322
1480,3220.84421918,0.100364588
1490,3136.96018876,0.100830393
1500,3074.02121968,0.101287857
1510,3109.36550979,0.101738905
1520,3103.47958367,0.102189632
1530,3107.89225793,0.10263651
1540,3154.87669463,0.103165834
1550,3169.55346628,0.103645754
1560,3069.16675446,0.104114446
1570,3101.976457,0.104576401
1580,3166.5794902,0.105040923
1590,3075.26847732,0.105536563
1600,3199.66218082,0.105993064
1610,3188.3200156,0.106555751
1620,3210.87216557,0.107013536
1630,3163.42901982,0.107463622
1640,3167.30114532,0.107919162
1650,3181.15695271,0.108368927
1660,3101.19708352,0.109050953
1670,3187.24392245,0.109518683
1680,3163.73669238,0.110070463
1690,3250.18781719,0.110532098
1700,3265.96562881,0.111034154
1710,3260.7472935,0.112623409
1720,3213.91726767,0.113108142
1730,3228.15584601,0.113623671
1740,3246.55933117,0.114086268
1750,3250.40056806,0.114591532
1760,3105.68282324,0.115053808
1770,3366.9153863,0.115524425
1780,3206.16719983,0.116020064
1790,3222.61794425,0.116491965
1800,3271.52587844,0.117022251
1810,3190.05105475,0.117489018
1820,3179.20733308,0.11794969
1830,3132.76623403,0.118417099
1840,3224.96536322,0.11888547
1850,3195.740851,0.119351275
1860,3081.49425647,0.119811947
1870,3068.69289021,0.120273903
1880,3103.3860996,0.12073618
1890,3164.45398357,0.121196211
1900,3213.84614056,0.122704944
1910,3239.97741931,0.123203471
1920,3075.9916028,0.123664143
1930,3065.74005229,0.12411487
1940,3218.75087136,0.124572334
1950,3222.59960947,0.125018249
1960,3163.07741626,0.125468335
1970,3135.70125993,0.125913288
1980,3069.69812584,0.126363373
1990,3175.66534882,0.12681378
2000,3158.43785845,0.127263866
2010,3141.11565007,0.127710423
2020,3218.07548575,0.128238784
