iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,0.127987190442,0.12900527211,0.391244870041,0.35,0.008544568
10,0.126072168843,0.126497828377,0.392612859097,0.35,0.06541896
20,0.12015185358,0.117690326535,0.610123119015,0.65,0.113009974
30,0.121514166345,0.114134990529,0.608755129959,0.65,0.160378351
40,0.121461911363,0.114134990529,0.608755129959,0.65,0.205178388
50,0.11940261702,0.1137761259,0.608755129959,0.65,0.248655116
60,0.119293843836,0.113849760131,0.608755129959,0.65,0.289931138
70,0.119421385043,0.113849760131,0.608755129959,0.65,0.332979271
80,0.119773251913,0.116895989503,0.608755129959,0.65,0.373847552
90,0.1193011645,0.115491477657,0.608755129959,0.65,0.415806564
100,0.129209479867,0.118783865054,0.608755129959,0.65,0.458245494
110,0.120162652086,0.113762306024,0.608755129959,0.65,0.500711053
120,0.119089531012,0.114784901517,0.608755129959,0.65,0.54234445
130,0.120212820897,0.113762306024,0.608755129959,0.65,0.584224543
140,0.120189571752,0.113762306024,0.608755129959,0.65,0.626013207
150,0.120191665994,0.113762306024,0.608755129959,0.65,0.666445518
160,0.120186807119,0.113762306024,0.608755129959,0.65,0.707907927
170,0.121876621733,0.114288457798,0.608755129959,0.65,0.750223349
180,0.12186295575,0.114288457798,0.608755129959,0.65,0.791399281
190,0.121887005058,0.114288457798,0.608755129959,0.65,0.830317407
200,0.121900960862,0.114288457798,0.608755129959,0.65,0.871061219
210,0.121822251516,0.114288457798,0.608755129959,0.65,0.913535759
220,0.133979653846,0.12245041911,0.608755129959,0.65,0.954737035
230,0.119519874864,0.114163208362,0.608755129959,0.65,0.99474236
240,0.121815124513,0.114288457798,0.608755129959,0.65,1.04257943
250,0.121886342782,0.114288457798,0.608755129959,0.65,1.083592397
260,0.119270813602,0.114037438591,0.608755129959,0.65,1.124470946
270,0.119283116107,0.114037438591,0.608755129959,0.65,1.167002909
280,0.12514821455,0.116104970661,0.608755129959,0.65,1.20871041
290,0.120719160283,0.113885934531,0.608755129959,0.65,1.248895064
300,0.120718339249,0.113885934531,0.608755129959,0.65,1.288669732
310,0.119086661893,0.11469886105,0.608755129959,0.65,1.328027679
320,0.119079670216,0.11469886105,0.608755129959,0.65,1.368021135
330,0.119079672497,0.11469886105,0.608755129959,0.65,1.410782794
340,0.124383014484,0.124065191735,0.606019151847,0.65,1.454127991
350,0.124407092667,0.124065191735,0.607387140903,0.65,1.4968858
360,0.119051390325,0.11469886105,0.608755129959,0.65,1.536486594
370,0.119068087126,0.11469886105,0.608755129959,0.65,1.576754978
380,0.118955636218,0.11469886105,0.608755129959,0.65,1.617240543
390,0.119062669255,0.115026643487,0.608755129959,0.65,1.661175695
400,0.12145862271,0.119842766412,0.604651162791,0.65,1.701755577
410,0.121483792397,0.119842766412,0.607387140903,0.65,1.743694699
420,0.119053736585,0.114570987307,0.608755129959,0.65,1.78295031
430,0.119950984873,0.117228225204,0.608755129959,0.65,1.823293443
440,0.119977613184,0.117228225204,0.608755129959,0.65,1.868525598
450,0.128589549803,0.129818093466,0.391244870041,0.35,1.909531829
460,0.119069499896,0.114570987307,0.608755129959,0.65,1.954871776
470,0.119099323324,0.114570987307,0.608755129959,0.65,1.999161736
480,0.119055345841,0.114570987307,0.608755129959,0.65,2.041883935
490,0.124503541678,0.115832406641,0.608755129959,0.65,2.086349695
500,0.119462698198,0.116148357523,0.608755129959,0.65,2.12918995
510,0.119005710145,0.114560968247,0.608755129959,0.65,2.169988299
520,0.11944955488,0.116146282448,0.608755129959,0.65,2.210657045
530,0.119034175112,0.114567337816,0.608755129959,0.65,2.248668584
540,0.119425306876,0.116140808008,0.608755129959,0.65,2.291047525
550,0.119424183395,0.116138032887,0.608755129959,0.65,2.332000822
560,0.119461944431,0.116148709772,0.608755129959,0.65,2.373776657
570,0.119448933706,0.116148709772,0.608755129959,0.65,2.415647769
580,0.119453815319,0.116148709772,0.608755129959,0.65,2.458092474
590,0.119445433097,0.116148709772,0.608755129959,0.65,2.500304278
600,0.119444248592,0.116148709772,0.608755129959,0.65,2.541830527
610,0.119112199711,0.114319798008,0.608755129959,0.65,2.582457887
620,0.11944498047,0.116151947348,0.608755129959,0.65,2.625468811
630,0.120447754676,0.118120590607,0.608755129959,0.65,2.667417878
640,0.120450173972,0.118120590607,0.608755129959,0.65,2.708007705
650,0.120438455417,0.118120590607,0.608755129959,0.65,2.749287258
660,0.132581413581,0.134858323944,0.389876880985,0.35,2.790771479
670,0.120430606061,0.118120590607,0.608755129959,0.65,2.834607185
680,0.120411457875,0.118120590607,0.608755129959,0.65,2.87971904
690,0.120481903364,0.118120590607,0.604651162791,0.65,2.922187165
700,0.12051581411,0.118120590607,0.604651162791,0.65,2.965473978
710,0.120432838515,0.118120590607,0.608755129959,0.65,3.014797324
720,0.120508016593,0.118120590607,0.604651162791,0.65,3.059797219
730,0.120502760853,0.118120590607,0.606019151847,0.65,3.100446394
740,0.120509586855,0.118120590607,0.607387140903,0.65,3.144293647
750,0.120555481479,0.118120590607,0.606019151847,0.65,3.187984672
760,0.120454259642,0.118120590607,0.607387140903,0.65,3.230539733
770,0.120474579499,0.118120590607,0.606019151847,0.65,3.275212409
780,0.120504580266,0.118120590607,0.606019151847,0.65,3.319995442
790,0.120505830814,0.118120590607,0.607387140903,0.65,3.364349882
800,0.120512642866,0.118120590607,0.606019151847,0.65,3.409463982
810,0.120512280498,0.118120590607,0.606019151847,0.65,3.453028608
820,0.120533475574,0.118120590607,0.607387140903,0.65,3.500232738
830,0.122520676851,0.12320858743,0.610123119015,0.65,3.544933326
840,0.120440639899,0.118120588093,0.607387140903,0.65,3.587134865
850,0.120551658467,0.118120590607,0.607387140903,0.65,3.630860534
860,0.120518190795,0.118120590607,0.608755129959,0.65,3.675670836
870,0.120624312731,0.118120590607,0.608755129959,0.65,3.724666967
880,0.12056564367,0.118120590607,0.607387140903,0.65,3.772417744
890,0.120509028198,0.118120590607,0.607387140903,0.65,3.821064518
900,0.120485582898,0.118120590607,0.606019151847,0.65,3.868357829
910,0.120459838714,0.118120590607,0.606019151847,0.65,3.918139284
