iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,0.123832171615,0.122183706541,0.570451436389,0.63125,0.000338446000001
10,0.141011292186,0.143465948922,0.391244870041,0.35,0.003735099
20,0.141596038896,0.144008314668,0.391244870041,0.35,0.00708202899999
30,0.142068676693,0.144632966679,0.389876880985,0.35,0.010583585
40,0.149009828626,0.154320312555,0.389876880985,0.35,0.013884638
50,0.149003713489,0.154320312555,0.391244870041,0.35,0.017252098
60,0.147107619927,0.151750824074,0.391244870041,0.35,0.020645223
70,0.147065808577,0.151750824074,0.388508891929,0.35,0.024055994
80,0.146901100941,0.151750824074,0.388508891929,0.35,0.02762075
90,0.146908847861,0.151750824074,0.388508891929,0.35,0.030931109
100,0.144334802908,0.149247144606,0.391244870041,0.35,0.034614562
110,0.12526062401,0.125139855779,0.392612859097,0.35,0.037968228
120,0.124154008983,0.123632460437,0.599179206566,0.65,0.041785455
130,0.118880483433,0.113977362356,0.607387140903,0.65,0.04506181
140,0.118877040214,0.113977362356,0.611491108071,0.65,0.048844708
150,0.11877183914,0.113977362356,0.612859097127,0.65,0.052216339
160,0.118698985176,0.113977362356,0.614227086183,0.65,0.055580271
170,0.118635213156,0.113977362356,0.615595075239,0.65,0.058950301
180,0.118605248669,0.113977362356,0.615595075239,0.65,0.062328993
190,0.118597117094,0.113977362356,0.614227086183,0.65,0.065617217
200,0.118595660496,0.113977362356,0.614227086183,0.65,0.068975054
210,0.118577653004,0.113977362356,0.612859097127,0.65,0.072544621
220,0.118529998433,0.113977362356,0.614227086183,0.65,0.075824502
230,0.118417892023,0.113977362356,0.615595075239,0.65,0.079462079
240,0.118349425165,0.113977362356,0.610123119015,0.65,0.082810614
250,0.118261195881,0.113977362356,0.612859097127,0.65,0.086406808
260,0.118077146088,0.113977362356,0.616963064295,0.65,0.090105018
270,0.11806847212,0.113977362356,0.616963064295,0.65,0.093902996
280,0.118065429763,0.113977362356,0.62243502052,0.65,0.09727527
290,0.11803764659,0.113977362356,0.615595075239,0.65,0.10056253
300,0.118028684261,0.113977362356,0.616963064295,0.65,0.103859735
310,0.11802152427,0.113977362356,0.616963064295,0.65,0.108377915
320,0.129498511211,0.131592077168,0.395348837209,0.35,0.112118468
330,0.117954448433,0.113977362356,0.616963064295,0.65,0.115539505
340,0.117907712024,0.113977362356,0.616963064295,0.65,0.119359621
350,0.117903635291,0.113977362356,0.615595075239,0.65,0.122806963
360,0.117781366851,0.113977362356,0.616963064295,0.65,0.126163517
370,0.117792270783,0.113977362356,0.615595075239,0.65,0.129630105
380,0.117590245942,0.113977362356,0.618331053352,0.65,0.132915119
390,0.117551920364,0.113977362356,0.618331053352,0.65,0.136360534
400,0.117581363216,0.113977362356,0.618331053352,0.65,0.139704896
410,0.117528613068,0.113977362356,0.618331053352,0.65,0.143195547
420,0.117482789153,0.113977362356,0.618331053352,0.65,0.146665665
430,0.117458068762,0.113977362356,0.618331053352,0.65,0.150262503
440,0.117453544324,0.113977362356,0.618331053352,0.65,0.153666216
450,0.117427318742,0.113977362356,0.619699042408,0.65,0.157057418
460,0.115928960348,0.112453781083,0.608755129959,0.65,0.160466265
470,0.115794293176,0.112453781083,0.608755129959,0.65,0.163886979
480,0.119621139839,0.110731128809,0.608755129959,0.65,0.167252516
490,0.11564262949,0.112453781083,0.608755129959,0.65,0.170747335
500,0.115638826828,0.112453781083,0.608755129959,0.65,0.174043899
510,0.117700115264,0.112477373349,0.608755129959,0.65,0.177529735
520,0.112717591084,0.116622459724,0.610123119015,0.65,0.181254249
530,0.112717679453,0.116622459724,0.610123119015,0.65,0.184815479
540,0.112558657693,0.117640768125,0.610123119015,0.65,0.188693016
550,0.112507650513,0.117213561526,0.608755129959,0.65,0.192182701
560,0.112587470083,0.116675903767,0.608755129959,0.65,0.195655064
570,0.112641638444,0.117213561526,0.610123119015,0.65,0.199137695
580,0.112371507515,0.117601190961,0.608755129959,0.65,0.202600756
590,0.112326293769,0.117601190961,0.610123119015,0.65,0.20607344
600,0.110817653112,0.116821272347,0.610123119015,0.65,0.209457263
610,0.110811041219,0.116821272347,0.610123119015,0.65,0.21311505
620,0.110120018877,0.116811838691,0.611491108071,0.65,0.216418992
630,0.109986021352,0.116580923023,0.611491108071,0.65,0.220177512
640,0.109929086359,0.116580923023,0.611491108071,0.65,0.223477924
650,0.109961889266,0.116580923023,0.612859097127,0.65,0.227025354
660,0.109868413186,0.116580923023,0.611491108071,0.65,0.230324805
670,0.109753102589,0.117291966054,0.612859097127,0.65,0.233639654
680,0.110770432983,0.117993967927,0.612859097127,0.65,0.237090204
690,0.109700936666,0.116376530846,0.611491108071,0.65,0.240607801
700,0.108935657723,0.113344406258,0.612859097127,0.65,0.244036538
710,0.108653098817,0.114386198913,0.616963064295,0.65,0.247830668
720,0.108520049035,0.114546952919,0.618331053352,0.65,0.251577638
730,0.108643934345,0.114546952919,0.618331053352,0.65,0.254996109
740,0.105909647587,0.120508189784,0.697674418605,0.725,0.258613474
750,0.105902860178,0.120508189784,0.697674418605,0.725,0.262388355
760,0.104878454007,0.129502099881,0.705882352941,0.36875,0.266329411
770,0.10214011272,0.124949755294,0.71682626539,0.4375,0.270147922
