iteration,MSE_trg,MSE_tst,acc_trg,acc_tst,elapsed
0,0.142211686163,0.146813815444,0.393980848153,0.35,0.00631114
10,0.113873014924,0.117756636029,0.623803009576,0.65,0.03678574
20,0.0842735517365,0.0888838759127,0.768809849521,0.7625,0.06675219
30,0.0747812815807,0.0740400116387,0.787961696306,0.79375,0.081495617
40,0.0710325115379,0.0721571803446,0.804377564979,0.8125,0.09475084
50,0.0698561696262,0.0719816729609,0.809849521204,0.8125,0.108379158
60,0.0690125551425,0.0726111341186,0.805745554036,0.8125,0.120361116
70,0.0684655534356,0.0706550949124,0.809849521204,0.8125,0.131952341
80,0.0677117211879,0.0659768509466,0.815321477428,0.8375,0.142915114
90,0.0668876151384,0.0670554961768,0.81121751026,0.81875,0.157276145
100,0.0665327413135,0.0668549093629,0.81121751026,0.81875,0.168050285
110,0.0660217486504,0.0663136553692,0.813953488372,0.81875,0.177867152
120,0.0657588587365,0.0658813937603,0.813953488372,0.81875,0.187646163
130,0.06508551928,0.0632051701265,0.816689466484,0.825,0.196913174
140,0.0645449221247,0.0628115065912,0.815321477428,0.83125,0.206070151
150,0.0638986519477,0.0629285872571,0.816689466484,0.81875,0.215332991
160,0.0634638389274,0.0633372489285,0.81805745554,0.825,0.224671864
170,0.0632935288949,0.0631914111628,0.816689466484,0.81875,0.23392476
180,0.0630665690651,0.0634182334792,0.819425444596,0.8125,0.243556524
190,0.0629597141667,0.0632898403905,0.819425444596,0.8125,0.252644207
200,0.0628541482886,0.0627716932211,0.81805745554,0.81875,0.261610948
210,0.0625649446663,0.0623999364961,0.815321477428,0.825,0.270611695
220,0.0624482942055,0.062263938356,0.81805745554,0.825,0.279565605
230,0.0623642593453,0.0622714181393,0.81805745554,0.825,0.288652325
240,0.0622840189769,0.0623962886654,0.81805745554,0.825,0.298237575
250,0.0621460999104,0.0622839533214,0.820793433653,0.83125,0.308958461
260,0.061848674307,0.0615325595367,0.822161422709,0.8375,0.319384852
270,0.0618394090073,0.0622494271155,0.823529411765,0.83125,0.329692866
280,0.061757432059,0.0623914328144,0.824897400821,0.83125,0.340675208
290,0.061706549574,0.0624198191812,0.824897400821,0.83125,0.351555534
300,0.0616367130711,0.0616003010932,0.824897400821,0.83125,0.362404741
310,0.0615863515443,0.0615731187227,0.824897400821,0.83125,0.37302618
320,0.0615373262359,0.0616736626121,0.824897400821,0.83125,0.383287036
330,0.0614899979144,0.0615699100966,0.824897400821,0.83125,0.393553989
340,0.0614556155696,0.0615391072708,0.824897400821,0.83125,0.403932902
350,0.0613945424621,0.0615935322376,0.824897400821,0.83125,0.413980103
360,0.0613416997475,0.0617287153719,0.824897400821,0.825,0.424231976
370,0.0613060635745,0.0617287139781,0.826265389877,0.825,0.434501493
380,0.061256681633,0.0618036098214,0.827633378933,0.825,0.444871744
390,0.0612256617128,0.0617752843022,0.827633378933,0.825,0.455382506
400,0.0611953850814,0.0617052863547,0.827633378933,0.83125,0.467771245
410,0.0611371383346,0.0618895830971,0.827633378933,0.83125,0.479753848
420,0.0611072757736,0.0620371732331,0.827633378933,0.81875,0.491914175
430,0.0610599560951,0.0621632029381,0.827633378933,0.825,0.505001938
440,0.0610167986627,0.0622873890761,0.826265389877,0.825,0.516192801
450,0.0609936171714,0.0622939933397,0.826265389877,0.825,0.527790761
460,0.0609765962986,0.0622373562812,0.827633378933,0.81875,0.53927644
470,0.0609370448484,0.0621315389373,0.826265389877,0.825,0.550816655
480,0.0608892283739,0.0620924583552,0.827633378933,0.83125,0.56224812
490,0.0608510045315,0.0621552372709,0.824897400821,0.825,0.573698514
500,0.0608237471858,0.0621041290561,0.824897400821,0.825,0.585155641
510,0.0607912533665,0.0621295639881,0.824897400821,0.825,0.596906625
520,0.060781688058,0.0621066630945,0.824897400821,0.825,0.60850362
530,0.0607745561344,0.0620498244599,0.824897400821,0.825,0.620148739
540,0.0607521485155,0.0620631085639,0.824897400821,0.83125,0.63156352
550,0.0607331403479,0.0620415194131,0.824897400821,0.825,0.643531043
560,0.0607126370537,0.0620784117882,0.824897400821,0.825,0.654982397
570,0.0607011239938,0.0621217565532,0.824897400821,0.83125,0.666429902
580,0.0606812989623,0.0620646027168,0.826265389877,0.825,0.677750692
590,0.06067141993,0.0621371125669,0.826265389877,0.83125,0.689418265
600,0.0606600253659,0.0622052390334,0.826265389877,0.83125,0.700878277
610,0.0606453807242,0.0622207742499,0.826265389877,0.825,0.712501261
620,0.0606369071178,0.0621520653361,0.824897400821,0.825,0.724232994
630,0.0606126449477,0.0621660057918,0.824897400821,0.825,0.735873619
640,0.0606065702895,0.0621035729696,0.824897400821,0.825,0.747434364
650,0.0606021122474,0.062076321039,0.824897400821,0.825,0.758971051
660,0.060593344728,0.0621029168574,0.824897400821,0.825,0.770299217
670,0.0605720668924,0.0621756904427,0.824897400821,0.825,0.782141309
680,0.0605611574195,0.0622446118039,0.824897400821,0.825,0.793788993
690,0.0605530218765,0.0622231266764,0.824897400821,0.825,0.805302581
700,0.0605402148259,0.0621778779762,0.824897400821,0.825,0.816946417
710,0.060534238062,0.0621385755478,0.824897400821,0.825,0.828195345
720,0.0605232778181,0.0621240347039,0.824897400821,0.825,0.839557835
730,0.060508337894,0.0622146813961,0.824897400821,0.825,0.850948877
740,0.060486074834,0.0622880523249,0.823529411765,0.825,0.862898438
750,0.0604541697298,0.0623528660435,0.826265389877,0.825,0.874611567
760,0.060442744818,0.0623241074072,0.823529411765,0.825,0.88604207
770,0.0604286033604,0.062193958532,0.824897400821,0.825,0.897981364
780,0.0603992015315,0.0621298769459,0.824897400821,0.825,0.909648617
790,0.0603721507714,0.0621973813956,0.826265389877,0.825,0.921085535
800,0.0603508087595,0.0622018405223,0.824897400821,0.825,0.933123318
810,0.0603233053059,0.0622108245717,0.824897400821,0.825,0.94528589
820,0.0603203824481,0.0621937696049,0.824897400821,0.825,0.957302176
830,0.0603054278261,0.0622107802047,0.824897400821,0.825,0.969543024
840,0.0602984007569,0.0622446381751,0.826265389877,0.825,0.981145154
850,0.0602883594064,0.0622454717353,0.826265389877,0.825,0.993084447
860,0.0602625484919,0.0622592365756,0.826265389877,0.825,1.004673425
870,0.0602541890232,0.0622270441316,0.826265389877,0.825,1.016123173
880,0.0602295236849,0.0622350367673,0.826265389877,0.825,1.027488873
890,0.0602193462036,0.0622403399013,0.826265389877,0.825,1.039096779
900,0.0602109650526,0.0622912636702,0.824897400821,0.825,1.050695061
910,0.0602029413977,0.0622446960959,0.826265389877,0.825,1.063004881
920,0.0601881735021,0.0622084772265,0.826265389877,0.825,1.075352235
930,0.0601852819476,0.0621470748297,0.824897400821,0.825,1.086853956
940,0.0601658505536,0.0622183884039,0.826265389877,0.825,1.098170252
950,0.0601529620807,0.0622636692146,0.824897400821,0.825,1.109603319
960,0.0601438727492,0.0622912057395,0.826265389877,0.825,1.121045369
970,0.0601488776927,0.0622871496208,0.824897400821,0.825,1.132914404
980,0.060142132492,0.0622559913393,0.823529411765,0.825,1.144795635
990,0.0601388529833,0.0622366640298,0.823529411765,0.825,1.156534748
1000,0.0601212916074,0.0622437658688,0.826265389877,0.825,1.167863874
1010,0.0601122634234,0.0622943608407,0.824897400821,0.825,1.179722646
1020,0.0601060958284,0.0621872136389,0.826265389877,0.825,1.19113005
1030,0.0600994556376,0.062189209938,0.824897400821,0.825,1.20330449
1040,0.0600905508106,0.0622232656358,0.824897400821,0.825,1.215388145
1050,0.0600861188924,0.062241074466,0.824897400821,0.825,1.22713143
1060,0.060075724752,0.062256768404,0.824897400821,0.825,1.239331215
1070,0.0600756228132,0.0622247280464,0.824897400821,0.825,1.251624033
1080,0.0600643880157,0.0622258165477,0.824897400821,0.825,1.263686516
1090,0.0600567349649,0.0622331702222,0.824897400821,0.825,1.275576086
1100,0.0600469123183,0.0622712637931,0.826265389877,0.825,1.287707541
1110,0.0600468024581,0.0622191210647,0.827633378933,0.825,1.300014154
1120,0.0600286744949,0.0623121058822,0.827633378933,0.825,1.312350601
1130,0.0600204985465,0.0623447414132,0.827633378933,0.825,1.32433577
1140,0.060013634641,0.0623294834829,0.827633378933,0.825,1.336430652
1150,0.0600050298303,0.0622980452142,0.826265389877,0.825,1.34798851
1160,0.0599944266153,0.0622224801053,0.826265389877,0.825,1.360563955
1170,0.0599890561457,0.0623198948754,0.827633378933,0.825,1.37281218
1180,0.0599766526339,0.0624050065466,0.829001367989,0.825,1.384797349
1190,0.0599653888439,0.0624040475291,0.827633378933,0.825,1.396565016
1200,0.0599672163442,0.0623314671021,0.826265389877,0.825,1.408247025
1210,0.0599611446888,0.0622935033728,0.826265389877,0.825,1.419812264
1220,0.0599590751414,0.0622968898584,0.827633378933,0.825,1.431402203
1230,0.0599469146907,0.0623727601042,0.827633378933,0.825,1.443306209
1240,0.0599304900817,0.0624159823232,0.826265389877,0.825,1.454868238
1250,0.0599257310916,0.062383490177,0.826265389877,0.825,1.466633658
1260,0.0599218259695,0.0623458622984,0.826265389877,0.825,1.47820018
1270,0.05991687079,0.0623114399239,0.827633378933,0.83125,1.489429539
1280,0.0599097777448,0.0623512415881,0.827633378933,0.825,1.500715362
1290,0.0598972175105,0.0623386216291,0.827633378933,0.83125,1.512219651
1300,0.0598905627608,0.0623415461705,0.827633378933,0.825,1.52370565
1310,0.0598835823424,0.0622973508415,0.827633378933,0.83125,1.535312275
1320,0.0598746275753,0.0623941803966,0.827633378933,0.825,1.547526816
1330,0.0598646207547,0.062344723627,0.827633378933,0.825,1.559264006
1340,0.0598538593353,0.0623843544626,0.827633378933,0.825,1.571025896
1350,0.0598528742461,0.0623405288301,0.827633378933,0.83125,1.583031274
1360,0.0598495894543,0.062257014603,0.827633378933,0.83125,1.594938167
1370,0.0598448682047,0.0621419570039,0.827633378933,0.83125,1.606427699
1380,0.0598328248552,0.0621360708919,0.827633378933,0.83125,1.617703574
1390,0.0598302745548,0.0620461505636,0.827633378933,0.83125,1.62935158
1400,0.059822301212,0.0620888311227,0.827633378933,0.83125,1.640774705
1410,0.059811177301,0.0621168650371,0.827633378933,0.83125,1.65234957
1420,0.059807918994,0.0621133459132,0.827633378933,0.83125,1.663855138
1430,0.0598006747914,0.0621491484567,0.827633378933,0.83125,1.675374502
1440,0.0597976590767,0.0621867826997,0.827633378933,0.83125,1.687541886
1450,0.0597905330423,0.0621816005063,0.827633378933,0.83125,1.699393922
1460,0.0597859319409,0.0620629065497,0.827633378933,0.83125,1.711201366
1470,0.0597751341345,0.0621276983866,0.827633378933,0.83125,1.722695385
1480,0.0597744794968,0.0620674684071,0.827633378933,0.83125,1.734577577
1490,0.0597656426122,0.0620607332007,0.827633378933,0.83125,1.745933976
1500,0.0597625747057,0.0620824584079,0.827633378933,0.83125,1.757643256
1510,0.0597496475547,0.0621479795545,0.827633378933,0.83125,1.768787602
1520,0.0597487268383,0.0620969974215,0.827633378933,0.83125,1.779831215
1530,0.0597444708875,0.0620746759358,0.827633378933,0.83125,1.791344161
1540,0.0597430285978,0.0620545866979,0.827633378933,0.83125,1.802896568
